iter	Passed	Remaining
923	8213	9564
924	8223	9556
925	8232	9547
926	8240	9538
927	8249	9529
928	8258	9520
929	8267	9511
930	8275	9502
931	8284	9493
932	8292	9483
933	8301	9475
934	8310	9466
935	8319	9457
936	8329	9449
937	8338	9441
938	8349	9433
939	8357	9424
940	8366	9415
941	8375	9407
942	8384	9398
943	8393	9389
944	8402	9380
945	8411	9371
946	8420	9362
947	8429	9354
948	8439	9346
949	8448	9337
950	8457	9328
951	8466	9319
952	8475	9310
953	8483	9302
954	8492	9292
955	8500	9283
956	8510	9274
957	8518	9265
958	8526	9256
959	8535	9246
960	8544	9237
961	8573	9251
962	8588	9248
963	8598	9240
964	8608	9233
965	8618	9225
966	8631	9221
967	8641	9213
968	8650	9204
969	8660	9196
970	8670	9188
971	8698	9200
972	8716	9200
973	8730	9196
974	8741	9189
975	8754	9185
976	8766	9179
977	8777	9172
978	8790	9168
979	8813	9173
980	8835	9177
981	8857	9182
982	8877	9184
983	8892	9181
984	8910	9181
985	8928	9182
986	8941	9176
987	8952	9169
988	8963	9163
989	8974	9155
990	8985	9148
991	8995	9140
992	9006	9133
993	9018	9127
994	9030	9120
995	9040	9112
996	9051	9105
997	9062	9098
998	9073	9091
999	9084	9084
1000	9094	9076
1001	9104	9068
1002	9115	9060
1003	9126	9053
1004	9135	9045
1005	9146	9037
1006	9156	9028
1007	9166	9020
1008	9176	9012
1009	9185	9004
1010	9195	8995
1011	9206	8987
1012	9216	8979
1013	9226	8971
1014	9235	8962
1015	9246	8954
1016	9255	8946
1017	9266	8938
1018	9278	8932
1019	9288	8924
1020	9298	8916
1021	9308	8907
1022	9318	8899
1023	9329	8891
1024	9339	8883
1025	9350	8876
1026	9360	8867
1027	9372	8861
1028	9382	8853
1029	9392	8845
1030	9402	8836
1031	9414	8830
1032	9424	8822
1033	9434	8814
1034	9444	8805
1035	9454	8797
1036	9463	8788
1037	9473	8779
1038	9483	8771
1039	9494	8763
1040	9503	8755
1041	9513	8746
1042	9524	8738
1043	9537	8733
1044	9548	8726
1045	9558	8717
1046	9568	8709
1047	9579	8701
1048	9588	8693
1049	9599	8685
1050	9609	8676
1051	9619	8668
1052	9629	8659
1053	9639	8651
1054	9648	8642
1055	9659	8635
1056	9668	8626
1057	9680	8619
1058	9691	8611
1059	9703	8605
1060	9714	8597
1061	9725	8589
1062	9735	8581
1063	9745	8573
1064	9755	8564
1065	9764	8555
1066	9774	8546
1067	9783	8538
1068	9795	8530
1069	9804	8522
1070	9814	8513
1071	9824	8504
1072	9833	8495
1073	9863	8504
1074	9874	8496
1075	9887	8490
1076	9897	8481
1077	9906	8472
1078	9916	8464
1079	9925	8454
1080	9934	8445
1081	9946	8438
1082	9956	8430
1083	9967	8422
1084	9976	8413
1085	9985	8404
1086	9995	8395
1087	10005	8386
1088	10015	8378
1089	10025	8369
1090	10035	8361
1091	10044	8352
